Feature,Mean_SHAP_Value
CodeChurn,0.12240122258217653
Module,0.10176604031236144
ChangeDensity,0.09022635959721038
LinesAdded,0.08456563069819702
Module_y,0.08403320243995151
Author,0.08002257261024077
FilesChanged,0.07333891304797696
LinesRemoved,0.061536336045977316
Execution Date,0.05457367292577696
Timestamp,0.05340484988954467
ConfigurationParameter_ci tool,0.05022317020137356
Build Version,0.041921780578318635
Severity_critical,0.04169978211520679
ConfigurationParameter_container runtime,0.04124921398761136
Risk Level_Medium,0.040196781379324614
Severity_major,0.03760844149741152
Criticality_High,0.03663137825677115
ConfigurationParameter_os version,0.03628614186092104
Coverage,0.03524968718629757
Risk Level_High,0.032321823051047374
ModuleID,0.032264171058808064
Value_docker 24.0,0.03210783517689418
Duration(min),0.03187053733721097
Status_inactive,0.031725494079105875
Status_alpha,0.031509329733595284
Module_x_ui layer,0.031283256221489
Value_centos 8,0.03096785153111579
Severity_minor,0.030416292043160067
TestID_y,0.03021066600602324
Value_sql server 2019,0.02909466379110235
Module_x_api gateway,0.02809252304193667
CommitID,0.028064804893046417
CommitFrequency,0.027439937638748465
ConfigurationParameter_database,0.02733667612995644
Environment_production,0.026449315795320262
Module_x_authentication,0.025451693449022525
TestID_x,0.025384313761916043
Status_beta,0.025163527942893518
Status_archived,0.024744015847217957
BuildID,0.024417771201304218
Module_x_database connector,0.023842165712238503
Environment_development,0.023633418185445752
ExecutionTime,0.023384516594293202
Environment_testing,0.022414121758793742
TestsRun,0.022152167674598447
Value_caddy 2.6,0.021956079845456947
Status_x_resolved,0.021953087395022802
Value_github actions,0.021818501563157323
Module_x_notification system,0.020851611222979804
Criticality_Low,0.020025548184390347
Status_active,0.01992269410037597
Status_stable,0.01965155916291181
Status_rejected,0.01847306565999029
Value_memcached 1.6,0.018072956078902722
Status_x_in progress,0.017759021022200717
Status_released,0.017305286173751436
Status_approved,0.0169796089278405
Module_x_logging service,0.016966293523461757
TestName,0.016922277381797295
Environment_staging,0.01650394788903827
ConfigurationParameter_web server,0.01640614884273936
Value_ubuntu 22.04,0.016378545493497876
Value_redis 7.0,0.015825682043335634
Value_postgresql 15,0.015418136127991065
Value_mysql 8.0,0.015121662830559386
Value_nginx 1.23,0.01501676587165835
LogID,0.015001394023922266
Value_apache 2.4,0.014654353179715576
Criticality_Medium,0.014093354587947053
Status_deprecated,0.014070167274545405
Status_obsolate,0.013698923439160174
Module_x_pipeline runner,0.013599874103398666
Status_pending,0.013585943215940643
Value_ubuntu 20.04,0.013531850104087577
RiskScore,0.013519039066148174
Value_gitlab ci,0.013352957796470043
Status_x_open,0.013303592336182255
Status_experimental,0.010999132867062573
ConfigurationParameter_cache system,0.010960416706337794
Value_jenkins 2.414,0.010553336120586183
Value_podman 4.0,0.006424421083302322
Risk Level_Low,0.006176617670023377
Value_containerd 1.7,0.004952618742993709
Value_mongodb 6.0,0.0049448662692203925
Status_y_success,0.0
Status_y_failed,0.0
Value_windows server 2019,0.0
Risk Level_nan,0.0
Criticality_nan,0.0
