Feature,Mean_SHAP_Value
CodeChurn,0.09492546619597843
FilesChanged,0.06268594784161619
LinesAdded,0.054699940324681305
LinesRemoved,0.05159683683919463
Status_y_success,0.04653776929070267
Status_y_failed,0.04497192865025359
ChangeDensity,0.036940132676315705
Duration(min),0.02955901995100109
CommitFrequency,0.016284481247314842
Status_x_in progress,0.007147657059151757
Status_x_resolved,0.006083080809561626
Module,0.005689884810119264
Severity_critical,0.005489069932844238
Author,0.005043226374140707
Environment_development,0.00460830148270586
Status_obsolate,0.003911613131600032
Severity_minor,0.00384940574736572
Environment_staging,0.0037822508772520813
Status_experimental,0.0037099158057922964
ConfigurationParameter_ci tool,0.003640514846493814
Environment_testing,0.0032504680469187582
Module_x_ui layer,0.003072949267790942
Risk Level_Medium,0.003004197119153785
ConfigurationParameter_cache system,0.0029702851187845803
Status_archived,0.002862472832125832
Module_x_database connector,0.0027834381492387278
Status_x_open,0.002583081523261813
Status_released,0.002423302181614523
Status_rejected,0.0022507213674626304
Criticality_Low,0.00224953972583478
Value_caddy 2.6,0.0022432832905226064
Module_y,0.002197800059678006
ConfigurationParameter_web server,0.0021486562667872734
Criticality_Medium,0.00203000279755839
Status_alpha,0.0019992918065974857
Value_redis 7.0,0.001940298867706947
Risk Level_Low,0.0018527892963438027
Criticality_High,0.0017376324837499655
Value_gitlab ci,0.0017261245887204213
Value_podman 4.0,0.0015463884134807827
Value_docker 24.0,0.0014714349449424676
Status_active,0.00139965177368714
Environment_production,0.0013267865996539083
TestName,0.0013188709280218727
Status_pending,0.0012942654543521845
Severity_major,0.0012410139861008284
ConfigurationParameter_container runtime,0.0012156053356511827
Module_x_pipeline runner,0.0011576535936276004
RiskScore,0.0010830404167661263
Module_x_api gateway,0.0010690295630281367
BuildID,0.0009919185538137787
Module_x_logging service,0.000888727749653938
ConfigurationParameter_os version,0.0008714862417643122
Execution Date,0.0008567738373980024
TestID_x,0.0007786254147505937
Module_x_authentication,0.0007615117032370749
Coverage,0.0007454375740026418
Status_stable,0.0007007667567961767
TestID_y,0.0006010807940624839
TestsRun,0.000587334489975499
Value_ubuntu 22.04,0.0005737451499497127
ExecutionTime,0.00055410925874198
Value_mongodb 6.0,0.0005481826500179052
Value_mysql 8.0,0.0005470341371833934
ModuleID,0.0004881650119939671
Build Version,0.0004521224485993169
LogID,0.0004482596220350914
CommitID,0.00044728478801832794
ConfigurationParameter_database,0.0004233859281738806
Timestamp,0.0003591452901715285
Status_inactive,0.0003352222831365912
Value_apache 2.4,0.0003314408478241495
Value_centos 8,0.00032442786089600055
Risk Level_High,0.00031047814087446725
Value_windows server 2019,0.0003070879149243478
Value_memcached 1.6,0.0003002617996754084
Status_approved,0.0002834067931054134
Module_x_notification system,0.00023173259287958729
Value_containerd 1.7,0.000217791316581862
Value_ubuntu 20.04,0.00017102626588489804
Status_beta,0.0001565869630985714
Value_sql server 2019,0.00015644615711432388
Value_jenkins 2.414,0.00014865477205048682
Status_deprecated,0.00014672135852482926
Value_nginx 1.23,8.4940758765146e-05
Value_postgresql 15,7.75537361979456e-05
Value_github actions,6.604140326152923e-05
Risk Level_nan,0.0
Criticality_nan,0.0
